Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
1996045984,"Dec 2, 2018, 9:55:37 AM",Long Run,Run,"",7201,22.02,178.0,259,false,,,activities/2133829555.fit.gz,68.0,,7201.0,7166.0,22022.30078125,4.900000095367432,,80.33892822265625,81.03890228271484,198.0,218.89999389648438,13.0,-0.0031785962637513876,,,83.0,78.84980010986328,178.0,162.50775146484375,,,925.0,,,259.0,,,,,,,,,,,,,0.0,,,22123.69921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1999338856,"Dec 4, 2018, 9:02:44 AM",Easy Run,Run,"",3240,9.35,173.0,77,false,,,activities/2137289479.fit.gz,68.0,,3240.0,3216.0,9350.099609375,5.099999904632568,,64.63092803955078,64.93090057373047,200.89999389648438,232.60000610351562,10.899999618530273,-0.003208521753549576,,,86.0,78.23199462890625,173.0,150.53085327148438,,,393.0,,,77.0,,,,,,,,,,,,,0.0,,,9447.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2001472311,"Dec 5, 2018, 12:25:41 PM",Easy run,Run,New shoes!,3198,8.61,,,false,,"",activities/2001472311.gpx,68.0,,3198.0,3181.0,8612.599609375,4.099999904632568,,55.44772720336914,56.547698974609375,200.89999389648438,232.60000610351562,10.5,-0.012771985493600368,,,,,,,,,726.8118896484375,,,,,,,,,,,,,,,,0.0,,,8699.099609375,,,,,,,,,,,,,,,,3858443.0,,,,,,,,,,,,,,,,,""
2002870163,"Dec 6, 2018, 9:04:40 AM",1k Interval repeats,Run,"",3533,12.17,190.0,175,false,,"",activities/2140932431.fit.gz,68.0,,3533.0,3533.0,12174.0,4.800000190734863,,47.29898452758789,46.0989990234375,198.0,226.5,13.100000381469727,0.009857072494924068,,,86.0,79.75035858154297,190.0,171.1840362548828,,,510.0,,,175.0,,,,,,,,,,,,,0.0,,,12236.599609375,,,,,,,,,,,,,,,,3858459.0,,,,,,,,,,,,,,,,,""
2005027754,"Dec 7, 2018, 4:17:32 PM",Tempo Run,Run,"",1658,5.43,180.0,56,false,,"",activities/2143146126.fit.gz,68.0,,1658.0,1612.0,5435.7998046875,4.800000190734863,,24.797500610351562,120.0,205.0,226.5,5.300000190734863,-0.022075867280364037,,,81.0,78.10231018066406,180.0,160.7548370361328,,,341.0,,,56.0,,,,,,,,,,,,,0.0,,,5454.39990234375,,,,,,,,,,,,,,,,3858443.0,,,,,,,,,,,,,,,,,""
2006009564,"Dec 8, 2018, 9:39:15 AM",Easy Run,Run,"",1868,4.92,155.0,25,false,,"",activities/2144158558.fit.gz,68.0,,1868.0,1868.0,4920.60009765625,3.4000000953674316,,24.6200008392334,129.0,205.0,226.5,4.699999809265137,0.008129090070724487,,,81.0,76.52301788330078,155.0,141.4630584716797,,,340.0,,,25.0,,,,,,,,,,,,,0.0,,,4943.60009765625,,,,,,,,,,,,,,,,3858443.0,,,,,,,,,,,,,,,,,""
2007993156,"Dec 9, 2018, 10:39:12 AM",Easy Run,Run,"",2179,5.89,162.0,46,false,,"",activities/2146224628.fit.gz,68.0,,2179.0,2173.0,5898.7998046875,3.299999952316284,,12.5600004196167,123.0,198.6999969482422,218.3000030517578,3.5,-0.2729368805885315,,,82.0,78.60276794433594,162.0,148.95057678222656,,,429.0,,,46.0,,,,,,,,,,,,,0.0,,,5879.2998046875,,,,,,,,,,,,,,,,3858459.0,,,,,,,,,,,,,,,,,""
2013430507,"Dec 12, 2018, 12:00:31 PM",Easy Run,Run,"",3593,10.22,179.0,130,false,,"",activities/2151882935.fit.gz,68.0,,3593.0,3493.0,10224.400390625,3.5999999046325684,,40.08333206176758,261.0,198.0,217.89999389648438,5.400000095367432,-0.000978052499704063,,,84.0,79.84789276123047,179.0,163.37313842773438,,,751.0,,,130.0,,,,,,,,,,,,,0.0,,,10265.0,,,,,,,,,,,,,,,,3858443.0,,,,,,,,,,,,,,,,,""
2019861032,"Dec 16, 2018, 11:10:36 AM",Easy Run,Run,"",3470,9.81,175.0,106,false,,"",activities/2158657675.fit.gz,68.0,,3470.0,3415.0,9816.7998046875,3.5,,37.90999984741211,200.0,198.0,218.60000610351562,5.300000190734863,-0.00814929511398077,,,85.0,80.0058822631836,175.0,158.61204528808594,,,687.0,,,106.0,,,,,,,,,,,,,0.0,,,9855.099609375,,,,,,,,,,,,,,,,3858443.0,,,,,,,,,,,,,,,,,""
2023372501,"Dec 18, 2018, 1:30:05 PM",Easy Run,Run,"",3666,10.52,176.0,132,false,,"",activities/2162358044.fit.gz,68.0,,3666.0,3633.0,10524.099609375,3.700000047683716,,40.220001220703125,209.0,198.0,219.5,5.099999904632568,0.001900400035083294,,,84.0,79.4418716430664,176.0,163.05697631835938,,,745.0,,,132.0,,,,,,,,,,,,,0.0,,,10565.2001953125,,,,,,,,,,,,,,,,3858443.0,,,,,,,,,,,,,,,,,""
