Elapsed Time,Max Speed,Moving Time,Distance,Type
10945,6.5,3972.0,12.27,Run
2990,6.599999904632568,2427.0,8.15,Run
1987,5.199999809265137,1839.0,6.59,Run
4507,7.099999904632568,1377.0,5.31,Run
2375,5.0,2179.0,7.38,Run
5182,4.800000190734863,4284.0,14.13,Run
4916,6.300000190734863,3072.0,10.55,Run
3911,4.699999809265137,2996.0,10.03,Run
2879,5.900000095367432,1317.0,4.1,Run
4177,5.099999904632568,2548.0,8.42,Run
3441,4.5,2768.0,8.9,Run
2805,4.300000190734863,2459.0,7.6,Run
3428,4.0,968.0,2.73,Run
2886,7.199999809265137,2859.0,8.26,Run
2273,5.400000095367432,2219.0,7.69,Run
3440,5.0,3251.0,10.62,Run
3943,6.099999904632568,3557.0,11.46,Run
3197,5.400000095367432,2920.0,9.45,Run
4910,5.800000190734863,1399.0,4.08,Run
3852,4.699999809265137,3724.0,11.73,Run
4064,8.899999618530273,1478.0,4.75,Run
4616,4.800000190734863,3925.0,12.53,Run
4330,4.599999904632568,3606.0,10.84,Run
3463,7.599999904632568,1497.0,4.49,Run
4191,5.0,3663.0,11.87,Run
3606,5.800000190734863,2179.0,7.44,Run
3453,4.800000190734863,2832.0,8.63,Run
3406,7.800000190734863,2780.0,8.43,Run
4070,6.0,3388.0,11.89,Run
2672,5.699999809265137,2655.0,9.52,Run
3931,10.199999809265137,1018.0,3.58,Run
3489,4.599999904632568,3291.0,11.19,Run
3175,5.0,1849.0,5.66,Run
2545,4.699999809265137,1992.0,6.98,Run
3391,7.0,3045.0,10.16,Run
3425,7.199999809265137,2899.0,9.56,Run
2069,4.800000190734863,1984.0,6.79,Run
3483,5.099999904632568,3131.0,10.41,Run
3553,4.800000190734863,3465.0,11.56,Run
3197,6.0,3073.0,9.81,Run
6389,4.699999809265137,6365.0,21.09,Run
1405,5.800000190734863,1383.0,5.04,Run
1301,5.599999904632568,1298.0,5.01,Run
3804,7.300000190734863,3658.0,11.65,Run
2190,5.400000095367432,2098.0,6.81,Run
3065,4.800000190734863,2983.0,9.28,Run
3407,5.099999904632568,2962.0,9.69,Run
4944,5.300000190734863,2771.0,8.26,Run
2360,4.900000095367432,2254.0,7.81,Run
3190,5.099999904632568,2776.0,9.22,Run
3754,7.599999904632568,2810.0,8.96,Run
6197,4.599999904632568,5140.0,14.05,Run
3525,8.199999809265137,3018.0,9.74,Run
4987,5.400000095367432,3465.0,10.2,Run
3666,4.5,3517.0,11.55,Run
6569,4.0,6135.0,16.89,Run
3589,5.400000095367432,3459.0,11.32,Run
6695,4.300000190734863,6683.0,21.11,Run
4189,7.599999904632568,4093.0,12.61,Run
3209,5.699999809265137,3087.0,9.49,Run
3745,6.099999904632568,3700.0,11.7,Run
3221,7.0,3112.0,9.83,Run
3195,3.5999999046325684,3020.0,8.05,Run
1968,4.5,1837.0,6.39,Run
3130,4.5,2943.0,9.47,Run
2312,5.300000190734863,2308.0,8.05,Run
3279,4.400000095367432,3272.0,10.04,Run
18134,9.600000381469728,16241.0,42.2,Run
2278,6.099999904632568,2099.0,6.38,Run
2292,4.699999809265137,2192.0,7.54,Run
2800,4.199999809265137,2730.0,8.18,Run
2786,6.800000190734863,2469.0,8.13,Run
3895,4.800000190734863,3808.0,12.97,Run
4073,7.199999809265137,3376.0,11.24,Run
3121,5.300000190734863,2769.0,9.2,Run
5015,7.0,3494.0,10.58,Run
4041,7.900000095367432,3452.0,9.77,Run
4038,9.300000190734863,2941.0,7.88,Run
3986,9.800000190734863,2733.0,8.21,Run
3327,6.099999904632568,2664.0,8.91,Run
2161,5.699999809265137,2161.0,7.76,Run
3875,7.5,3105.0,9.0,Run
3354,6.300000190734863,2449.0,7.95,Run
3490,6.800000190734863,3262.0,11.08,Run
3697,7.300000190734863,3091.0,9.57,Run
3657,6.800000190734863,2892.0,9.93,Run
6341,5.099999904632568,6308.0,21.11,Run
3766,7.5,2988.0,9.76,Run
2664,6.5,1653.0,6.31,Run
3209,6.5,3012.0,10.16,Run
3409,5.900000095367432,3373.0,11.56,Run
2460,5.699999809265137,2358.0,8.02,Run
3508,7.900000095367432,3336.0,10.41,Run
2352,5.900000095367432,2316.0,7.9,Run
1972,6.599999904632568,1880.0,6.91,Run
3260,7.5,2903.0,9.37,Run
6415,8.899999618530273,6209.0,21.1,Run
3547,5.300000190734863,2739.0,8.36,Run
3280,7.900000095367432,2873.0,8.74,Run
3209,6.900000095367432,2825.0,9.29,Run
3427,6.099999904632568,3176.0,10.33,Run
3329,8.600000381469727,3102.0,10.0,Run
3219,6.800000190734863,2848.0,9.59,Run
3548,5.300000190734863,3479.0,11.78,Run
5714,4.099999904632568,4662.0,12.02,Run
3331,6.199999809265137,2971.0,8.01,Run
2227,5.5,2161.0,7.84,Run
2552,6.400000095367432,2483.0,8.0,Run
3291,7.300000190734863,2962.0,9.72,Run
3755,6.599999904632568,3450.0,10.81,Run
2564,5.5,2536.0,8.65,Run
2451,6.0,2446.0,7.84,Run
2514,7.0,2462.0,7.68,Run
2975,5.300000190734863,2562.0,7.73,Run
6346,6.900000095367432,6208.0,21.1,Run
3394,6.300000190734863,2842.0,9.32,Run
3690,5.400000095367432,3385.0,11.75,Run
3164,4.699999809265137,3164.0,11.09,Run
3261,6.199999809265137,3261.0,10.72,Run
2644,5.300000190734863,2637.0,7.67,Run
1274,6.599999904632568,1267.0,4.98,Run
1961,3.900000095367432,1831.0,4.88,Run
3167,6.5,3142.0,10.06,Run
3146,9.300000190734863,3039.0,10.01,Run
2766,6.599999904632568,2611.0,7.71,Run
3173,4.800000190734863,3013.0,9.41,Run
2824,5.0,2810.0,9.45,Run
3328,8.899999618530273,3321.0,10.79,Run
1344,5.800000190734863,1335.0,5.01,Run
1749,3.799999952316284,1749.0,5.17,Run
2476,6.400000095367432,2349.0,7.88,Run
3968,5.0,3611.0,11.27,Run
3463,4.900000095367432,3149.0,11.18,Run
3024,5.400000095367432,2958.0,10.72,Run
2912,5.199999809265137,2894.0,9.5,Run
4118,4.5,3702.0,10.48,Run
2057,4.699999809265137,2057.0,6.94,Run
3075,5.300000190734863,1809.0,5.87,Run
2751,5.0,2748.0,9.5,Run
5356,4.900000095367432,3273.0,10.07,Run
3846,5.400000095367432,3744.0,13.34,Run
4108,5.0,4027.0,13.26,Run
2380,4.099999904632568,2069.0,6.19,Run
2434,4.5,2303.0,6.72,Run
2850,4.300000190734863,2636.0,8.04,Run
3622,5.900000095367432,3376.0,11.31,Run
4070,4.900000095367432,4065.0,13.3,Run
1833,5.800000190734863,1807.0,6.36,Run
4452,7.400000095367432,3494.0,11.33,Run
3212,5.599999904632568,3135.0,8.57,Run
2727,6.300000190734863,2727.0,10.01,Run
2571,5.199999809265137,2458.0,7.85,Run
3405,3.299999952316284,900.0,2.43,Run
3018,5.300000190734863,2863.0,9.34,Run
3291,6.699999809265137,3016.0,9.85,Run
2914,6.199999809265137,2726.0,9.37,Run
3392,4.900000095367432,3224.0,11.24,Run
2914,6.199999809265137,2645.0,9.11,Run
2820,7.0,2402.0,8.58,Run
2374,10.399999618530272,2339.0,7.98,Run
2811,7.5,2604.0,8.83,Run
5957,8.5,5957.0,21.34,Run
2657,7.28000020980835,2590.0,9.27,Run
3477,6.320000648498535,3408.0,11.59,Run
3244,6.860009670257568,2802.0,8.89,Run
2640,4.879980564117432,2543.0,8.69,Run
3620,6.300000190734863,3439.0,11.63,Run
3736,7.419921875,3187.0,10.58,Run
1744,4.340014457702637,1709.0,5.35,Run
2748,6.280004978179932,2604.0,9.13,Run
1294,5.820019721984863,1291.0,5.01,Run
2534,6.099999904632568,2498.0,8.0,Run
1288,6.079998970031738,1288.0,5.2,Run
2852,6.580001831054688,2633.0,8.96,Run
3040,7.439999580383301,2665.0,9.14,Run
2356,6.400000095367432,2341.0,8.01,Run
2676,6.939990043640137,2580.0,8.35,Run
2856,5.719995021820068,2770.0,8.33,Run
3114,6.080004692077637,2710.0,9.2,Run
3223,5.920000553131104,2882.0,9.47,Run
3640,6.5,3339.0,10.38,Run
3369,7.019995212554932,3288.0,10.7,Run
2770,6.02001953125,2749.0,8.93,Run
2390,7.02001953125,2386.0,8.25,Run
3329,6.940014839172363,3313.0,11.16,Run
2929,5.759961128234863,2632.0,9.23,Run
2864,11.175565719604492,2854.0,8.58,Run
3776,7.159960746765137,3660.0,12.33,Run
2522,6.43994140625,2494.0,7.96,Run
2749,4.779980659484863,2741.0,8.67,Run
3203,6.3800048828125,3107.0,10.67,Run
4560,5.699999809265137,4542.0,15.55,Run
3364,4.6201171875,3157.0,10.51,Run
5015,4.819999694824219,4940.0,16.44,Run
3743,4.800000190734863,3740.0,12.26,Run
2965,4.5400390625,2926.0,9.65,Run
4060,7.359999656677246,4047.0,13.3,Run
2550,6.220019340515137,2448.0,7.85,Run
3307,6.440039157867432,2891.0,9.74,Run
2078,3.900000095367432,2060.0,5.82,Run
14659,4.659765720367432,13528.0,42.21,Run
1992,4.280077934265137,1982.0,5.81,Run
3285,7.319921970367432,2887.0,9.49,Run
3980,7.680078029632568,3631.0,11.86,Run
3747,8.639989852905273,3506.0,10.1,Run
2436,5.340014457702637,2303.0,8.14,Run
3162,6.859961032867432,3137.0,9.29,Run
2745,5.800000190734863,2265.0,7.65,Run
6019,6.800000190734863,6013.0,21.3,Run
3546,8.639989852905273,3154.0,9.22,Run
2434,5.920019626617432,2353.0,7.88,Run
2686,5.560009956359863,2601.0,9.32,Run
2391,7.800000190734863,2294.0,7.94,Run
2735,4.920019626617432,2713.0,10.06,Run
2501,5.320019721984863,2345.0,8.12,Run
3194,9.519994735717772,740.0,2.19,Run
2358,5.279980659484863,2344.0,8.24,Run
6617,4.520312309265137,6543.0,20.2,Run
2305,3.5999999046325684,2292.0,6.0,Run
2433,5.759961128234863,2398.0,7.82,Run
2471,6.760058403015137,2458.0,7.88,Run
2303,6.159960746765137,2282.0,7.77,Run
2483,5.039999485015869,2455.0,7.91,Run
1923,4.540014743804932,1782.0,4.26,Run
2441,4.7400007247924805,2418.0,5.1,Run
2751,5.599999904632568,2552.0,8.98,Run
3873,5.939990043640137,3336.0,11.23,Run
5375,8.359960556030273,3975.0,11.86,Run
3457,5.659985542297363,3256.0,10.65,Run
3249,6.180005073547363,3006.0,10.39,Run
2191,5.920019626617432,2184.0,7.81,Run
6297,5.759961128234863,6285.0,21.48,Run
3200,5.699999809265137,3088.0,9.19,Run
2537,4.620001316070557,2468.0,7.72,Run
25639,4.440039157867432,21532.0,55.01,Run
2205,4.220001220703125,2122.0,6.89,Run
2246,4.43994140625,2220.0,6.07,Run
2190,4.579980373382568,2132.0,6.38,Run
3333,6.3000006675720215,832.0,2.39,Run
1582,4.780004978179932,1576.0,5.38,Run
2381,6.09999942779541,2193.0,6.55,Run
1306,6.380000114440918,1281.0,4.97,Run
3351,4.480078220367432,3337.0,10.25,Run
4051,5.02001953125,2801.0,8.87,Run
2761,6.239999771118164,2751.0,9.97,Run
2771,4.920019626617432,2715.0,8.37,Run
3927,7.080029487609863,3218.0,10.52,Run
3653,7.840039253234863,3275.0,10.45,Run
5688,5.940014839172363,940.0,2.96,Run
3146,4.620001316070557,2936.0,9.12,Run
4575,6.97998046875,3823.0,11.27,Run
5449,5.519921779632568,5379.0,15.77,Run
3056,9.340039253234863,2747.0,8.09,Run
3883,6.800000190734863,3003.0,9.65,Run
2765,5.999999523162842,2729.0,8.16,Run
2899,5.439999580383301,2714.0,8.11,Run
1385,5.779999732971191,1381.0,5.11,Run
2769,6.659998893737793,2697.0,7.45,Run
2027,5.340039253234863,2012.0,5.6,Run
3046,7.179980278015137,2902.0,8.87,Run
3230,5.320116996765137,3219.0,10.03,Run
2744,4.639941215515137,2624.0,7.74,Run
3406,6.580078125,3210.0,10.18,Run
2888,6.559960842132568,2787.0,8.89,Run
2429,5.819994926452637,2429.0,7.78,Run
3057,7.780077934265137,2931.0,9.09,Run
3862,6.340039253234863,3596.0,11.53,Run
2886,4.760156154632568,2845.0,9.69,Run
3185,6.780077934265137,2996.0,9.18,Run
2513,6.840039253234863,2503.0,7.84,Run
3587,4.759999752044678,3222.0,9.78,Run
3342,5.02001953125,3170.0,10.42,Run
4266,5.420117378234863,3594.0,11.6,Run
504,,504.0,2.05,Segment
105,,105.0,0.54,Segment
105,,105.0,0.54,Segment
125,,125.0,0.57,Segment
97,,97.0,0.49,Segment
118,,118.0,0.6,Segment
111,,111.0,0.59,Segment
36,,36.0,0.27,Segment
57,,57.0,0.35,Segment
155,,155.0,0.63,Segment
120,,120.0,0.57,Segment
381,,381.0,1.51,Segment
57,,57.0,0.32,Segment
83,,83.0,0.46,Segment
137,,137.0,0.65,Segment
109,,109.0,0.55,Segment
110,,110.0,0.41,Segment
1142,,1142.0,4.48,Segment
115,,115.0,0.59,Segment
89,,89.0,0.49,Segment
66,,66.0,0.4,Segment
140,,140.0,0.67,Segment
18,,18.0,0.11,Segment
66,,66.0,0.4,Segment
192,,192.0,0.804,Records
152,,152.0,1.0,Records
373,,373.0,1.61,Records
776,,776.0,3.21,Records
1239,,1239.0,5.0,Records
2668,,2668.0,10.0,Records
4180,,4180.0,15.0,Records
4482,,4482.0,16.09,Records
5576,,5576.0,20.0,Records
5885,,5885.0,21.0975,Records
10070,,10070.0,30.0,Records
14641,,14641.0,42.195,Records
33,,33.0,0.2,Lap
66,,66.0,0.4,Lap
