Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
2248081875,"Mar 28, 2019, 7:34:50 PM",Evening Run,Run,,3092,10.07,176.0,96,false,,,activities/2393695379.tcx.gz,,,3092.0,3085.0,10070.5,4.199999809265137,,38.08919143676758,,119.69999694824219,131.1999969482422,5.5,0.0,,,91.0,86.28687286376953,176.0,158.21426391601562,,,515.0,,,96.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2252952662,"Mar 30, 2019, 4:43:32 PM",Afternoon Run,Run,,3226,10.33,183.0,120,false,,,activities/2398804329.tcx.gz,,,3226.0,2961.0,10336.599609375,5.300000190734863,,34.411705017089844,,108.19999694824219,131.89999389648438,6.0,0.0009674361208453774,,,98.0,87.61624145507812,183.0,164.67523193359375,,,519.0,,,120.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2264782410,"Apr 4, 2019, 4:38:05 PM",Evening Run,Run,,2225,6.84,170.0,47,false,,,activities/2411084412.tcx.gz,,,2225.0,1911.0,6847.10009765625,4.099999904632568,,28.237300872802734,,108.19999694824219,130.89999389648438,16.200000762939453,0.002920944709330797,,,92.0,88.322509765625,170.0,153.288330078125,,,307.0,,,47.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2264783164,"Apr 1, 2019, 6:04:55 PM",Evening Run,Run,,3331,4.51,181.0,16,false,,,activities/2411085177.tcx.gz,,,3331.0,1331.0,4511.89990234375,6.199999809265137,,0.0,,117.19999694824219,119.0999984741211,10.600000381469727,-0.017730889841914177,,,101.0,85.77861785888672,181.0,138.07298278808594,,,184.0,,,16.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2272831322,"Apr 7, 2019, 3:45:04 PM",Afternoon Ride,Ride,,4150,24.03,158.0,25,false,,,activities/2419478043.tcx.gz,,,4150.0,3987.0,24035.099609375,9.600000381469727,,87.0698471069336,,92.5,131.5,8.300000190734863,-0.00041605817386880517,,,,,158.0,123.97264862060547,,,453.0,,,25.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2275253184,"Apr 8, 2019, 5:03:00 PM",Evening Run,Run,,3567,7.88,183.0,73,false,,,activities/2422032803.tcx.gz,,,3567.0,2488.0,7882.39990234375,5.900000095367432,,0.0,,117.19999694824219,119.0999984741211,2.9000000953674316,0.01776108890771866,,,98.0,84.26570129394531,183.0,156.46640014648438,,,410.0,,,73.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2280350969,"Apr 10, 2019, 5:45:58 PM",Evening Run,Run,,2446,8.01,140.0,8,false,,,activities/2427315943.tcx.gz,,,2446.0,2404.0,8009.0,4.300000190734863,,40.5877571105957,,114.9000015258789,131.5,10.300000190734863,0.0,,,92.0,87.57231903076172,140.0,118.63836669921875,,,266.0,,,8.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2290235952,"Apr 14, 2019, 4:00:15 PM",Evening Run,Run,,3853,11.38,185.0,101,false,,,activities/2437604468.tcx.gz,,,3853.0,3561.0,11382.2001953125,5.400000095367432,,48.49570083618164,,108.19999694824219,130.89999389648438,10.800000190734863,0.0,,,98.0,86.27909088134766,185.0,156.3454132080078,,,582.0,,,101.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2296417217,"Apr 15, 2019, 5:02:55 PM",Evening Run,Run,,3265,2.82,170.0,22,false,,,activities/2444040654.tcx.gz,,,3265.0,969.0,2826.10009765625,3.299999952316284,,0.0,,117.19999694824219,119.0,5.400000095367432,-0.01769222691655159,,,87.0,84.21910858154297,170.0,150.1673583984375,,,150.0,,,22.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2296419809,"Apr 17, 2019, 10:27:48 AM",Lunch Run,Run,,3144,9.73,173.0,33,false,,,activities/2444042349.tcx.gz,,,3144.0,2995.0,9738.2998046875,3.799999952316284,,49.60841369628906,,112.0,131.1999969482422,13.300000190734863,0.0,,,90.0,86.73371124267578,173.0,133.186767578125,,,395.0,,,33.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2315941461,"Apr 23, 2019, 5:02:25 PM",Evening Run,Run,,3414,2.82,178.0,22,false,,,activities/2464510030.tcx.gz,,,3414.0,885.0,2825.60009765625,4.099999904632568,,0.0,,117.19999694824219,119.0999984741211,5.300000190734863,-0.046007927507162094,,,87.0,83.70941925048828,178.0,153.1827392578125,,,141.0,,,22.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
